course_id,section_id,university,department
105076114,105062604,Troy University,COM
105076113,105062605,Troy University,COM
105076112,105062606,Troy University,COM
105076111,105062607,Troy University,COM
105979375,105966928,Troy University,COOP
105076108,105062611,Troy University,CP
105076107,105062612,Troy University,CP
105076106,105062613,Troy University,CP
105076105,105062614,Troy University,CP
105076104,105062615,Troy University,CP
105076103,105062616,Troy University,CP
105076102,105062617,Troy University,CP
105076101,105062618,Troy University,CP
105076101,105062619,Troy University,CP
105076100,105062620,Troy University,CP
107539387,107538186,Troy University,CP
105076099,105062621,Troy University,CP
105076098,105062622,Troy University,CP
105076097,105062623,Troy University,CP
105076097,107832388,Troy University,CP
105076096,105062624,Troy University,CP
105076095,105062625,Troy University,CP
105076094,105062626,Troy University,CP
105076093,105062627,Troy University,CS
105076093,105062628,Troy University,CS
105076092,105062629,Troy University,CS
105076091,105062630,Troy University,CS
105076090,105062631,Troy University,CS
105076089,105062632,Troy University,CS
105076088,105062633,Troy University,CS
105979376,105966929,Troy University,CS
105076087,105062634,Troy University,CS
105076086,105062635,Troy University,CS
105076085,105062636,Troy University,CS
105076084,105062637,Troy University,CS
105076083,105062638,Troy University,CS
105076082,105062639,Troy University,CS
105076081,105062640,Troy University,CS
105076080,105062641,Troy University,CS
105076079,105062642,Troy University,CS
105076078,105062643,Troy University,CS
105979377,105966930,Troy University,CS
105076077,105062644,Troy University,CS
105076077,105062645,Troy University,CS
105076077,105062646,Troy University,CS
105076077,105062647,Troy University,CS
105076077,105062648,Troy University,CS
107514886,107510155,Troy University,CS
107514886,107832389,Troy University,CS
105076076,105062649,Troy University,CS
105075894,105062650,Troy University,CS
107172308,107164740,Troy University,CS
105075893,105062709,Troy University,CS
105979378,105966931,Troy University,CS
107051128,107164741,Troy University,CS
107051128,107048829,Troy University,CS
105075892,105062710,Troy University,DAN
105075891,105062711,Troy University,DAN
105075890,105062712,Troy University,DAN
105075889,105062713,Troy University,DAN
105075888,105062714,Troy University,DAN
105075887,105062715,Troy University,DAN
105075886,105062716,Troy University,DAN
105075885,105062717,Troy University,DAN
105075884,105062718,Troy University,DAN
105075883,105062719,Troy University,DAN
105075882,105062720,Troy University,DAN
105075881,105062721,Troy University,DAN
105075880,105062722,Troy University,DAN
105075879,105062723,Troy University,DAN
105075878,105062724,Troy University,DAN
105075877,105062725,Troy University,DAN
105075876,105062726,Troy University,DAN
105075875,105062727,Troy University,DAN
107844582,107832390,Troy University,DAN
105979379,105966932,Troy University,ECO
105979379,105966933,Troy University,ECO
105979380,105966934,Troy University,ECO
105979380,105966935,Troy University,ECO
107107273,107104501,Troy University,ECO
106428017,106426681,Troy University,ECO
105979381,105966936,Troy University,ECO
105979382,105966937,Troy University,ECO
105979383,105966938,Troy University,ECO
105979384,105966939,Troy University,ECO
107107274,107104502,Troy University,ECO
107209816,107208981,Troy University,ECO
107172309,107164742,Troy University,ECO
105979385,105966940,Troy University,ECO
105979386,105966941,Troy University,ECO
105979387,105966942,Troy University,ECO
105979388,105966943,Troy University,ECO
105979626,105966944,Troy University,ECO
107262993,107538187,Troy University,ECO
107262993,107261990,Troy University,ECO
105075874,105062728,Troy University,EDU
105075874,105062729,Troy University,EDU
105075874,105062730,Troy University,EDU
